编号,题目类型,题目,题目选项,题目答案,答案说明
11,单选题,以下哪个不是AI在不同场景/岗位中的应用技巧?,A. 根据具体需求选择合适的AI模型; B. 盲目跟风选择最流行的AI应用; C. 结合人类智慧和AI技术的优势; D. 持续优化AI应用的效果,B,盲目跟风忽略具体需求会导致应用失效
12,单选题,在利用AI进行文章生成时，以下哪个做法最有助于提升文章的质量?,A. 依赖AI完全生成文章; B. 结合人类编辑的润色和校对; C. 使用大量专业术语和复杂句式; D. 忽略文章的逻辑性和连贯性,B,人工校对可修正AI生成内容的逻辑和语言问题(A可能导致质量不稳定)
13,单选题,"提示词在人工智能时代的重要性源于其对于提高人工智能系统的理解和生成能力,以及提升用户体验等方面的关键作用。在人工智能中，""提示词""的主要作用是什么?",A. 增加模型的训练时间; B. 提高模型的准确性; C. 引导模型的生成内容或行为; D. 减少模型所需的数据量,C,提示词的核心作用是引导AI行为
14,单选题,以下哪种行为可能违反版权或道德规范,A. 生成一张不包含任何具体标志或艺术作品的自然风景图; B. 生成一张包含受版权保护的品牌标志的图像并用于商业广告; C. 生成一张你自己创作的卡通角色图像; D. 生成一张抽象艺术图像,B,使用受版权内容商用违反知识产权法
15,单选题,生成式AI在大型商业项目中，如何评估其经济效益?,A. 仅通过模型的性能指标。; B. 结合项目的实际需求、市场反馈和成本投入进行综合评估。; C. 忽视项目的长期效益。; D. 仅通过用户的主观感受进行评估。,B,需结合商业实际效果进行综合评估
16,单选题,提示词的质量对生成式AI的输出有何影响?,A. 无关紧要; B. 轻微影响; C. 显著影响; D. 完全决定,C,提示词质量直接影响输出相关性(虽重要，但不足以完全决定输出)
17,单选题,生成式AI大模型的发展历程中，哪个阶段标志着技术的重大突破?,"A. 初步研究阶段，提出基本概念; B. 实验验证阶段，取得初步成果; C. 规模化应用阶段，实现商业落地; D. 技术优化阶段,提升模型性能",C,商业落地标志着技术实用化突破
18,单选题,生成式AI在实际应用中，以下哪个环节是确保其商业价值实现的关键?,A. 模型训练; B. 模型评估; C. 与业务场景的结合; D. 技术更新,C,业务结合是实现价值的核心环节
19,单选题,生成式AI在应用中如何避免侵犯版权等问题?,A. 无需采取措施; B. 依赖用户自行处理; C. 对生成的文本或图像进行审查和过滤; D. 仅需确保数据来自合法来源,C,内容审查是避免侵权的直接手段
20,单选题,以下哪个模型是生成式AI的重要算法之一?,A. CNN(卷积神经网络); B. RNN(循环神经网络); C. GANs(生成对抗网络); D. SVM(支持向量机),C,GANs是生成领域的代表性算法
21,单选题,通过撰写提示词实现复杂需求目标时，以下哪个不是关键要素?,A. 明确需求; B. 精确描述; C. 随意编写; D. 考虑上下文,C,随意编写无法实现复杂需求
22,单选题,制定生成式AI模型落地应用方案时，首要考虑的是?,A. 技术可行性; B. 个人兴趣; C. 业务需求; D. 最新技术趋势,C,业务需求是方案设计的首要依据
23,单选题,以下哪个不是提示词书写的优化技巧?,A. 使用具体、明确的词汇; B. 避免使用模糊或抽象的词汇; C. 尽可能使用长句子详细描述; D. 根据AI工具的特点调整词汇和风格,C,长句子可能增加AI理解难度
24,单选题,生成式AI在以下哪个行业中，可能会面临较大的版权和伦理问题?,A. 新闻媒体; B. 电子商务; C. 文化艺术; D. 制造业,C,文化艺术领域涉及大量版权作品
25,单选题,人工智能(AI)领域中的主流框架主要为开发者提供了哪些功能?,A. 用于网络安全防御的加密工具; B. 设计、训练和部署AI模型的编程接口和工具; C. 增强计算机硬件性能的物理设备; D. 改善用户界面设计的图形工具,B,主流框架提供模型开发部署工具
26,单选题,生成式AI的基础模型结构不包括以下哪种?,A. 卷积神经网络(CNN); B. 决策树; C. 循环神经网络(RNN)及其变体; D. 变换器(Transformer),B,决策树是判别式模型非生成式基础结构
27,单选题,生成式AI为教育行业带来的主要挑战是?,A. 教学内容标准化; B. 教师失业风险增加; C. 学生自主学习能力提升; D. 教育资源分配不均,B,虽然其他选项也是教育行业面临的挑战，但B更直接关联生成式AI的影响
28,单选题,随着人工智能技术的不断发展，AI在写报告领域也有了越来越多的应用。AI技术不仅提高了报告的撰写效率，还为写作者提供了更多的创作灵感。在AI辅助写报告的场景中，AI最擅长的是?,A. 收集相关数据; B. 逻辑结构的优化; C. 个性化写作风格; D. 情感表达,B,AI擅长结构化组织内容
29,单选题,下面哪个文本描述更有可能生成你期望的图像,"A. 一个房子; B. 一座红色屋顶、白色墙壁的乡村小房子,周围有绿树和花园; C. 一栋建筑; D. 一个景观",B,细节描述提供更精确的生成依据
30,单选题,人工智能(AI)是一门涉及计算机科学的学科，关于人工智能的基本概念，下列哪项描述是正确的?,A. 人工智能是一种仅限于计算机硬件发展的技术，主要用于提高处理速度。; B. 人工智能是通过编程和算法的应用，使计算机和机器模拟人类的思维过程和智能行为的技术领域。; C. 人工智能是一种新兴的互联网应用程序，专门用于在线购物和社交网络。; D. 人工智能是一种新型电子设备，用于替代人类执行高危工作。,B,AI本质是模拟人类智能的技术领域
31,单选题,AI生成短视频可以高效地完成创作过程，无需手动编辑和后期制作，节省了人力和时间成本。以下哪个不是AI在短视频制作中的常见应用场景?,A. 自动剪辑视频片段; B. 生成字幕与配音; C. 实时拍摄视频画面; D. 根据文本生成视频内容,C,实时拍摄属于硬件采集非AI生成场景
32,单选题,Token在生成式AI大模型中主要起什么作用?,A. 数据存储; B. 传输介质; C. 信息分割与标识; D. 加密保护,C,Token是生成式AI大模型中文本处理基本单元，起信息分割与标识作用，将输入文本分割成Token便于模型处理分析
33,单选题,借助AI生成与优化短视频的关键步骤不包括?,A. 选定主题; B. 拍摄视频; C. 自动化剪辑; D. 无需后期优化,D,后期优化是必要步骤
34,单选题,以下哪个不是借助AI进行学术研究与论文写作的好处?,A. 提高写作效率; B. 自动引用文献; C. 替代人工思考; D. 辅助数据分析,C,AI无法替代人类思考过程
35,单选题,在借助AI生成短视频时，以下哪种技术主要用于视频的风格转换?,A. 图像生成对抗网络(GAN); B. 神经风格迁移; C. 变分自编码器(VAE); D. 深度卷积生成对抗网络(DCGAN),B,神经风格迁移专攻视觉风格转换
36,单选题,"提示词在人工智能时代的重要性源于其对于提高人工智能系统的理解和生成能力，以及提升用户体验等方面的关键作用。在人工智能中，""提示词""的主要作用是什么?",A. 增加模型的训练时间; B. 提高模型的准确性; C. 引导模型的生成内容或行为; D. 减少模型所需的数据量,C,提示词引导模型行为方向
37,单选题,以下哪个不是生成式AI在学术研究与论文写作中的常见应用场景?,A. 论文引用格式检查; B. 数据分析可视化; C. 论文摘要生成; D. 论文内容创新,A,引用格式检查依赖规则库非生成能力
38,单选题,生成式AI作品应满足哪个主要标准?,A. 创新性; B. 娱乐性; C. 商业价值; D. 技术难度,C,商业价值是作品落地的核心标准
39,单选题,以下哪项不是生成式AI工具使用的高级特性?,A. 自定义模型训练; B. 实时数据输入; C. 简单的文本生成; D. 高级提示词撰写,C,简单文本生成是基础功能
40,单选题,复杂需求目标通常通过什么方式实现?,A. 简单的文本输入; B. 撰写提示词; C. 预设模板; D. 无需输入,B,复杂需求需精确的提示词表达
41,单选题,生成式AI模型的训练数据通常需要满足什么条件?,"A. 大量且高质量的数据; B. 数据量适中,但质量要高; C. 仅需大量数据,无需质量; D. 仅需少量高质量数据",A,大数据量和高质数据是模型训练基础
42,单选题,AI在学术论文写作中，以下哪个方面的帮助最大?,A. 直接生成完整的论文; B. 提供论文的框架和思路; C. 检查语法和拼写错误; D. 替代作者进行深入的研究和分析,B,AI主要辅助框架搭建而非深度研究
43,单选题,生成式AI未来可能的发展趋势不包括:,A. 更高的生成质量; B. 更快的生成速度; C. 更低的成本; D. 完全替代人类,D,完全替代人类不现实
44,单选题,Token在生成式AI大模型中是如何划分文本的?,A. 按照固定的字数划分; B. 按照语义单元划分; C. 按照标点符号划分; D. 不同模型有不同的划分方式,D,分词方式因模型设计而异
45,单选题,生成式AI在医疗领域的主要应用不包括:,A. 疾病诊断; B. 药物研发; C. 手术操作; D. 病历分析,C,手术操作需物理执行
46,单选题,生成式AI在教育领域的主要应用是:,A. 自动化教学; B. 个性化学习; C. 考试评分; D. 课程开发,B,个性化学习是教育领域核心应用
47,单选题,在使用AI辅助写文献综述时，以下哪一项是最重要的原则之一,A. 避免使用任何人工干预; B. 确保所有文献来自同一个数据库; C. 对收集到的信息进行批判性评估; D. 依赖AI生成的初稿作为最终版本,C,批判性评估是学术研究基本原则
48,单选题,以下哪个模型是生成式AI的常用模型?,A. CNN; B. RNN; C. GANs; D. SVM,C,"GANs是生成模型代表
(A：卷积神经网络;B：循环神经网络，但通常用于序列处理而非直接生成;C：生成对抗网络;D：支持向量机，为判别式模型)"
49,单选题,生成式AI大模型的技术架构中，哪个部分负责模型的推理和输出?,A. 数据输入层; B. 模型训练层; C. 推理层; D. 应用层,C,推理层直接负责计算输出结果(虽然应用层也涉及输出，但推理层更直接负责模型的输出)
50,单选题,AI助手(Assistant)主要利用哪种技术提供智能服务?,A. 自然语言处理; B. 计算机视觉; C. 深度学习; D. 机器学习,C,"深度学习是实现智能服务的底层技术(C更具体,且AI助手通常基于深度学习技术)"
51,单选题,生成式AI大模型在部署时，需要重点考虑哪些因素?(多选的单选形式，选最全面的),A. 硬件资源需求; B. 模型兼容性; C. 安全性与隐私保护; D. 包括A、B和C在内的所有因素,D,部署需综合硬件、兼容性和安全性
52,单选题,以下哪个不是生成式AI应用中常见的模型评估指标?,A. 准确率; B. 召回率; C. F1分数; D. 多样性,A,"生成质量评估需专用指标（如多样性）
(A：虽可用于分类任务,但生成式AI更关注生成质量)
(B：同样适用于分类任务)
(C：也是分类任务的评估指标)
(D：生成式AI中常用来评估生成结果的丰富性)"
53,单选题,以下哪个不是生成式AI应用中可能面临的伦理问题?,A. 数据隐私泄露; B. 模型偏见导致的不公平; C. 计算资源消耗过大导致的环境问题; D. 模型性能不足导致的用户不满,D,模型性能不足属于技术问题非伦理问题
54,单选题,微调(Fine-tuning)技术主要用于提升模型的:,A. 泛化能力; B. 在特定任务上的性能; C. 训练速度; D. 内存占用,B,微调提升特定任务性能
55,单选题,代理(Agent)在AI系统中通常扮演什么角色?,A. 数据收集者; B. 决策制定者; C. 用户界面提供者; D. 以上都是可能，但更核心的是B(决策制定者),D,代理可承担多种角色
56,单选题,借助AI进行大型商业项目时，以下哪个步骤最为关键?,A. 数据收集; B. 模型选择与训练; C. 项目需求分析; D. 系统部署与维护,C,需求分析决定项目方向
57,单选题,Transformer模型在生成式AI中的核心机制是什么?,A. 卷积操作; B. 注意力机制; C. 循环连接; D. 池化层,B,注意力机制是Transformer核心创新
58,单选题,利用人工智能技术辅助设计PPT，可以理解用户的需求和意图，自动选择合适的模板，生成吸引人的布局和设计，甚至生成动画效果，从而大大提高制作PPT的效率和质量。在使用AI辅助制作PPT时，提升AI生成内容质量的方法不包括?,A. 提供更多的背景信息和参考资料; B. 简化指令，避免使用复杂句式的提示词; C. 增加AI大模型的训练时间; D. 降低对AI的期望，接受其局限性,D,降低期望会掩盖可优化空间
59,单选题,在构建线性回归模型时，我们通常会对模型的性能进行评估，以确保其预测的准确性。假设你已经使用过去一年的广告支出和销售额数据建立了一个线性回归模型。现在，你需要评估该模型的性能。你决定使用均方误差(Mean Squared Error，MSE)作为评价指标。在评估过程中，你发现模型的MSE值较高。以下哪种情况可能是导致高MSE值的原因?,A. 模型未捕捉到数据中的非线性关系，导致预测误差较大。; B. 模型中存在多重共线性，即独立变量之间存在较高的相关性。; C. 模型的训练数据量过大，导致过拟合。; D. 模型的训练数据量过小，导致过拟合。,A,非线性关系导致预测偏差
60,单选题,AI助手在提供任务执行服务时，如何确保任务的正确性和高效性?,A. 仅依赖模型的预测结果; B. 结合具体的任务逻辑和规则进行验证; C. 忽略任务的具体要求; D. 不进行任何形式的错误处理,B,逻辑验证保障任务准确性
76,单选题,AI助手在提供任务执行服务时，如何确保任务的正确执行?,A. 仅依赖模型的预测结果。; B. 结合具体的任务逻辑和规则进行验证。; C. 忽略任务的具体要求。; D. 不进行任何形式的错误处理。,B,规则验证确保任务逻辑正确
77,单选题,生成式AI大模型在部署时，如何确保模型的安全性?,A. 仅依赖硬件的安全性。; B. 结合模型加密、访问控制等技术。; C. 忽视模型的数据输入。; D. 不进行任何形式的安全测试。,B,需结合加密和访问控制技术保障安全
78,单选题,生成式AI的创新主要体现在哪个方面？,A.算法优化.；B.应用场景拓展 ；C.计算速度提升 ；D.数据集大小,B,
79,单选题,在生成式AI中，提示词的主要作用是？," A.指示模型生成特定类型的内容; B.提供模型训练的标签 ;C.优化模型的参数; D.增加模型的泛化能力",A,
80,单选题,提示词在生成式AI中的作用是什么？,A. 提供训练标签; B. 指导模型生成符合期望的输出; C. 优化模型参数; D. 增加模型泛化能力,B,
81,单选题,生成式AI应用师在风险管理与伦理方面应如何行动？,A.追求技术领先，忽视潜在风险; B.遵守相关法律法规，确保模型应用的合法性和伦理性; C.仅关注模型性能，不顾及用户隐私; D.忽视社会影响，盲目推广新技术,B,
82,多选题,当使用文生图模型API生成图像时，为了控制生成图像的风格和细节程度，以下哪些API参数可能会被使用,A. style; B. detail_level; C. temperature; D. seed,ABD,style控制艺术风格，detail_level调整细节精度，seed确保生成可复现
83,多选题,以下哪些技术可以用于提升生成式AI模型的性能?,A. 分布式训练; B. 模型压缩; C. 迁移学习; D. 强化学习,ABCD,分布式训练加速计算，模型压缩减小体积，迁移学习适配新任务，强化学习优化生成策略
84,多选题,生成式AI在医疗领域的应用包括哪些?,A. 医学影像分析; B. 疾病诊断与预测; C. 药物研发; D. 患者健康管理,ABCD,涵盖影像分析、诊断辅助、药物研发、健康管理等核心医疗应用场景
85,多选题,在借助AI修图时，以下哪些步骤是可能的?,A. 自动调整图像的亮度和对比度; B. 根据图像内容自动添加滤镜效果; C. 手动调整图像的细节和布局; D. 对图像进行创意性的构图和设计,AB,AI可自动优化基础参数（亮度/对比度）和添加滤镜效果，创意性设计依赖人工，(C\D虽可结合AI，但更多依赖人工)
86,多选题,借助AI生成与优化PPT时，需要考虑哪些因素?,A. PPT的主题和结构; B. 幻灯片的布局和风格; C. 内容的逻辑性和连贯性; D. AI模型的特性和输出质量,ABCD,主题结构决定内容框架，布局风格影响展示效果，逻辑连贯保障专业性，模型质量决定输出水平
87,多选题,"在内容创作场景中,运用生成式AI的技巧包括?()",A. 确定创作主题和风格; B. 利用AI生成框架和思路; C. 对生成内容进行深度加工; D. 直接使用AI生成的内容,ABC,主题定位是创作起点，AI生成需框架引导，深度加工确保内容质量
88,多选题,关于构建提示词(Prompts)以提高人工智能模型的输出质量，以下哪些元素是关键?,A. 确定准确的输入格式; B. 确定准确的输出格式; C. 提供相关的背景信息; D. 选择合适的字体和颜色,ABC,输入输出格式是接口规范，背景信息提供上下文，视觉设计非提示词范畴
89,多选题,借助AI生成文章时，以下哪些方面可以进行优化?(),A. 内容的逻辑性和连贯性; B. 语言表达的准确性和流畅性; C. 增加具体的案例和数据支持; D. 改变文章的主题和核心观点,ABC,逻辑性是内容核心，语言准确性影响表达，案例数据增强说服力，主题观点需保持一致
90,多选题,在借助AI生成和优化PPT时，以下哪些是有效的方法?(),"A. 让AI生成PPT的大纲和内容框架; B. 使用AI生成与主题相关的图片和图表; C. 根据演讲风格和受众特点,优化PPT的排版和设计; D. 直接将AI生成的内容复制到PPT中，不做任何修改",ABC,AI生成初始框架与素材，人工优化排版设计，直接复制忽略适配性审查
91,多选题,以下哪些做法有助于提升AI生成PPT的质量?,A. 确定PPT的主题和结构; B. 选择合适的幻灯片布局和风格; C. 对生成的PPT进行细致的审查和修改; D. 忽略AI模型的局限性和错误输出,ABC,需求分析是基础，视觉设计定风格，人工审查保质量，忽略错误输出导致应用风险
92,多选题,"在借助AI进行文章生成时,以下哪些做法可以提高生成质量?","A. 使用具体、明确的提示词; B. 对生成的文章进行语法和拼写检查; C. 依赖AI完全生成文章,不进行任何修改; D. 结合目标受众的喜好调整文章风格",ABD,明确提示词精准引导，语法检查提升规范，目标受众决定表达方式，完全依赖AI质量不可控
93,多选题,为了优化AI生成的PPT，以下哪些做法是正确的?,A. 确定PPT的主题和结构; B. 选择合适的幻灯片布局和风格; C. 对生成的PPT进行细致的审查和修改; D. 无需考虑内容的逻辑性和连贯性,ABC,内容框架是核心，视觉呈现增效果，细节审查提质量，忽略逻辑性导致内容脱节
94,多选题,在熟悉主流生成式AI工具的使用方式时，你需要掌握哪些技能?,A. 工具的基本操作和使用方法; B. 工具的参数调整和高级功能; C. 工具的维护和故障排查; D. 无需了解工具的更新和升级信息,ABC,操作方法是前提，参数调整是进阶，维护能力保应用，持续更新需关注
95,多选题,以下哪些做法可以帮助提升AI修图的效果?,A. 提供高质量的原始图像; B. 对修图结果进行细致的审查和调整; C. 尝试不同的AI修图工具和参数组合; D. 忽略AI模型的特性和限制,ABC,原图质量是基础，后期优化增效果，工具测试选最优，忽略模型特性降低可控性
96,多选题,生成式AI大模型的理论知识中，Token的作用包括哪些?,A. 数据表示的基本单位; B. 控制模型训练过程; C. 实现模型的输入输出; D. 无关紧要,AC,Token是生成式AI大模型数据表示的基本单位，并且用于实现模型的输入输出
97,多选题,借助AI生成与优化短视频时，需要掌握哪些技能?,A. 视频剪辑与后期处理; B. AI算法的应用与优化; C. 短视频内容的策划与创意; D. 短视频平台的运营与推广,ABC,借助AI生成与优化短视频时，需要掌握视频剪辑与后期处理技能，以便对生成的视频进行加工完善；要掌握AI算法的应用与优化，从而更好地利用AI工具生成优质视频；还需要具备短视频内容的策划与创意，为视频产出提供核心思路。而选项D“短视频平台的运营与推广”主要侧重于视频制作完成后的推广环节，并非借助AI生成与优化短视频时需要掌握的技能。所以答案选ABC
98,多选题,"借助AI进行学术研究与论文写作时,AI可以辅助完成哪些任务?",A. 文献检索与整理; B. 实验设计与数据分析; C. 论文撰写与修改; D. 论文发表与版权申请,ABC,一次性返回简化处理，适用非实时场景，传输逻辑简单可靠
99,多选题,"人工智能已经站上短视频批量制造的赛道，不需要自学剪辑，输入文案就能“一键生成”短视频,一分钟就能导出一个文案、配音、画面、背景乐齐全的短视频来。AI在短视频制作中,可以辅助完成的工作包括哪些?",A. 视频内容策划; B. 镜头选择与组合; C. 特效与滤镜的应用; D. 视频的发布与推广,ABC,ABC选项均属于在短视频制作过程中AI可以辅助完成的工作，A选项视频内容策划可借助AI根据输入文案生成合适的视频内容框架等；B选项镜头选择与组合，AI能按照一定逻辑和风格挑选并组合镜头；C选项特效与滤镜的应用，AI可自动为视频添加特效和滤镜。而D选项视频的发布与推广主要涉及到平台操作、营销策略等方面，并非AI在短视频制作中辅助完成的工作内容，所以答案选ABC。
100,多选题,关于Hugging Face等人工智能大模型的平台，以下哪些说法是正确的?,A. Hugging Face等模型平台提供开源的人工智能模型和工具; B. 用户可以在这类平台上分享和下载模型; C. Hugging Face等模型平台提供闭源的人工智能模型和工具; D. 这类平台主要用于计算机视觉模型的训练,AB,Hugging Face等人工智能大模型平台提供开源的人工智能模型和工具，用户可在平台分享和下载模型，选项C说提供闭源模型和工具、选项D说主要用于计算机视觉模型训练均错误 
101,多选题,生成式AI最新的发展趋势包括以下哪些方面?(),A. 模型性能不断提升，生成内容质量更高; B. 与更多行业深度融合，创造新的应用场景; C. 对数据隐私和安全的关注度降低; D. 开源模型的发展与壮大,ABD,生成式AI最新发展趋势有模型性能提升使生成内容质量更高（A选项）、与更多行业深度融合创造新应用场景（B选项）、开源模型发展壮大（D选项），发展中对数据隐私和安全关注度提高，C选项错误 
112,多选题,在预训练过程中，大语言模型通常可以使用哪些类型的数据?,A. 大规模的未标注文本数据; B. 大规模的有标注文本数据; C. 大规模的图像数据; D. 结构化的表格数据,AB,大语言模型预训练常用大规模未标注和有标注文本数据，前者助模型学语言通用模式规律，后者用于监督学习提升特定任务性能，大规模图像数据用于图像模型训练，结构化表格数据用于数据分析等，所以选AB
113,多选题,提示词的概念包括哪些方面?,A. 是指导AI生成特定内容的关键词或短语; B. 是AI生成内容的主要依据; C. 可以影响AI生成内容的质量和风格; D. 与AI模型的训练数据无关,ABC,覆盖角色设计视觉开发、场景渲染效果优化、特效制作效率提升、AI换脸技术应用
114,多选题,不同场景/岗位的AI应用技巧包括哪些方面?,A. 根据具体需求选择合适的AI工具和技术; B. 了解AI模型的局限性和适用范围; C. 不断尝试和优化AI应用的效果; D. 忽略用户反馈，不进行持续优化,ABC,在不同场景/岗位应用AI时，首先要根据具体需求选择合适的AI工具和技术，同时需了解AI模型的局限性和适用范围，并且要不断尝试和优化AI应用的效果，而不能忽略用户反馈、不进行持续优化”
115,多选题,借助AI进行数据分析时，常见的分析工具包括哪些?,A. Python与R语言; B. Excel与SPSS; C. 深度学习框架(如TensorFlow); D. 商业智能软件(如Tableau),ABCD,Python与R语言可用于数据处理、建模等，Excel有基本数据分析功能，SPSS用于统计分析，TensorFlow可构建和训练深度学习模型进行数据分析，Tableau可用于数据可视化和分析，ABCD选项均为借助AI进行数据分析时常见的分析工具。 
116,多选题,在商业活动中应用生成式AI时，需要关注的商业指标有哪些?,A. 客户满意度; B. 运营效率; C. 成本控制; D. 品牌影响力,ABCD,ABCD四个选项均是在商业活动中应用生成式AI时需关注的商业指标，A可改善客户体验提高满意度，B能自动化流程提升运营效率，C合理运用可降低成本，D良好应用能提升品牌影响力 
117,多选题,"借助AI进行学术研究时,可用于文献综述的AI工具或技术有()",A. 自动文献综述生成器; B. 文本挖掘与分类技术; C. 知识图谱构建; D. 机器翻译工具,ABC,自动文献综述生成器可直接生成文献综述；文本挖掘与分类技术能对大量文献进行挖掘和分类，辅助完成文献综述；知识图谱构建可将文献中的知识关联起来，有助于文献综述的撰写。机器翻译工具主要用于语言翻译，并非专门用于文献综述，所以借助AI进行学术研究时可用于文献综述的工具或技术答案选ABC。 
118,多选题,"近年来随着人工智能技术的迅猛发展，越来越多的行业开始应用人工智能技术，电影制作行业也不例外。人工智能在电影制作行业中的应用,不仅大大提高了电影制作的效率和质量,还给电影创作带来了全新的可能性。AI图像技术在电影制作中的应用包括哪些?",A. 角色设计; B. 场景渲染; C. 特效制作; D. AI换脸,ABCD,题目关于AI图像技术在电影制作中的应用，答案选ABCD正确，AI图像技术可用于角色设计、场景渲染、特效制作、AI换脸
119,多选题,以下哪些是AI数据分析中常用的算法模型(),A. 聚类分析; B. 回归分析; C. 关联规则挖掘; D. 主成分分析,ABC,聚类分析可分组数据对象，在AI数据分析中发现自然分组结构；回归分析建立变量关系模型，预测数值输出；关联规则挖掘发现数据集不同项目关联关系，这三种是AI数据分析常用算法模型。主成分分析用于数据降维，非直接用于数据分析的算法模型。 
120,多选题,制定生成式AI模型落地应用的基本方案时，需要考虑哪些因素?,A. 业务场景的需求; B. 模型的性能与准确性; C. 法律法规与隐私保护; D. 用户体验与交互设计,ABCD,制定生成式AI模型落地应用基本方案时，A业务场景需求、B模型性能与准确性、C法律法规与隐私保护、D用户体验与交互设计四个选项均是需考虑的因素 
121,多选题,普通级AI应用师需要掌握的知识与技能包括哪些?,A. 编程基础; B. AI算法原理; C. 数据处理与分析; D. 人工智能伦理与责任,ABCD,普通级AI应用师需掌握编程基础、AI算法原理、数据处理与分析以及人工智能伦理与责任等知识与技能
122,多选题,生成式AI模型在部署时需要考虑哪些因素?,A. 硬件资源; B. 软件兼容性; C. 模型性能; D. 安全性与隐私保护,ABCD,生成式AI模型部署需考虑硬件资源确保计算能力、软件兼容性保证与现有系统配合、模型性能（推理速度、准确率等）以及安全性与隐私保护防止数据泄露，答案选ABCD
123,多选题,在借助AI生成与优化文章时，需要考虑哪些因素?,A. 文章的主题和结构; B. 目标受众的喜好和阅读习惯; C. AI模型的特性和输出质量; D. 文章的排版和字体选择,ABC,"D虽重要,但更多属于后期编辑范畴"
124,多选题,借助AI生成短视频时，可用于视频内容生成的技术有(),A. 图像生成对抗网络(GAN); B. 神经风格迁移; C. 视频生成模型; D. 图像合成技术,ACD,正确答案为ACD，选项A图像生成对抗网络(GAN)可生成逼真图像用于视频内容；选项C视频生成模型是专门用于视频内容生成的技术；选项D图像合成技术能将不同图像组合用于视频内容；选项B神经风格迁移主要是将一种图像的风格迁移到另一种图像上，并非主要用于视频内容生成。 
